game_dir,half,position_sec,label,video_path,video_exists
C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea,1,189,Foul,C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea\1_720p.mkv,True
C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea,1,576,Foul,C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea\1_720p.mkv,True
C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea,1,638,Foul,C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea\1_720p.mkv,True
C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea,1,823,Foul,C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea\1_720p.mkv,True
C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea,1,869,Foul,C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea\1_720p.mkv,True
C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea,1,1069,Foul,C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea\1_720p.mkv,True
C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea,1,1080,Yellow card,C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea\1_720p.mkv,True
C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea,1,1147,Foul,C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea\1_720p.mkv,True
C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea,1,1225,Foul,C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea\1_720p.mkv,True
C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea,1,1293,Foul,C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea\1_720p.mkv,True
C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea,1,1454,Foul,C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea\1_720p.mkv,True
C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea,1,1525,Foul,C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea\1_720p.mkv,True
C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea,1,1946,Foul,C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea\1_720p.mkv,True
C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea,1,2132,Foul,C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea\1_720p.mkv,True
C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea,1,2269,Foul,C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea\1_720p.mkv,True
C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea,1,2574,Foul,C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea\1_720p.mkv,True
C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea,1,2672,Foul,C:\Users\Bisma\AppData\Roaming\Python\Python314\site-packages\SoccerNet\england_epl\2015-2016\2015-08-08 - 19-30 Chelsea 2 - 2 Swansea\1_720p.mkv,True
